,IJNLFLMG,IRAA01MA,IRAA04MA,IRAA05MA,IRAA07MA,IRAA08MA,IRAA38MA,IRBA42MA,IRBA52MA,IRBA53MA,IRBA54MA,IRBA62MA,IRBA63MA,IRAD85MA,IRAD87MA,IRAD88MA,IRAD89MA,IRAD116MA,IRAD117MA,IRAD118MA,IRAD119MA,IRAD120MA,IRAD121MA,IRAD122MA,IRAD123MA,IRAD124MA,IRAD125MA,IRAD126MA,IRAD127MA,IRAD128MA,IRAD129MA,IRAD130MA,IRAD131MA,IRAD132MA,IRAD133MA,IRAD134MA,IRAD135MA,IRAD136MA,IRAD137MA,IRAD138MA,IRAD139MA,IRAD140MA,IRAD145MA,IRAD146MA,IRAD147MA,IRAD148MA,IRAD149MA,IRAD150MA,IRAD151MA,IRAD152MA,IRAD174MA,IRAD175MA,IRAD176MA,IRAD177MA,IRAD178MA,IRAD179MA,IINLAMMB,IINLAQMB,IJDEFDMA,IRAD93MA,IRAD94MA,IRAD95MA,IRAD96MA,IRAD97MA,IRAD98MA,IRAD99MA,IRAD100MA,IRAD101MA,IRAD102MA,IRAD103MA,IRAD104MA,IRAD105MA,IRAD106MA,IRAD107MA,IRAD108MA,IRAD109MA,IRAD110MA,IRAD111MA,IRAD112MA,IRAD113MA,IRAD114MA,IRAD115MA,IRAD141MA,IRAD142MA,IRAD143MA,IRAD144MA,IRAD153MA,IRAD154MA,IRAD155MA,IRAD156MA,IRAD157MA,IRAD167MA,IRAD168MA,IRAD169MA,IRAD170MA,IRAD171MA,IRAD172MA,IRAD173MA,IRAD180MA,IRAD181MA,IRAD182MA,IRAD183MA,IRAD184MA,IRAD185MA,IRAD186MA,IRAD187MA,IRAD188MA,IRAD189MA,IRAD190MA,IRAD191MA,IRAD192MA,IRAD193MA,IRAD194MA,IRAD195MA,IRAD196MA,IRAD197MA,IRAD198MA,IRAD199MA,IRAD200MA,IRAD201MA,IRAD202MA,IRAD203MA,IRAD204MA,IRAD205MA,IRAD206MA,IRAD207MA,IRAD208MA,IRAD209MA,IRAD210MA,IRAD211MA,IRAD212MA,IRAD213MA,IRAD214MA,IRAD215MA,IINLJEME,IINLKXMA,IINLKZMA,IKGB01MA,IKGD41MA,IKGE11MA,IKHB04MA,IKHB07MA,IRAD158MA,IRAD159MA,IRAD160MA,IRAD161MA,IRAD162MA,IRAD163MA,IRAD164MA,IRAD165MA,IRAD166MA,IMJA01MA,IRAL50MA,IRDE31MA,IRDE37MA,IRDE85MA,IRDE86MA,IRDE87MA,IRDF31MA,IRDF34MA,IRDF35MA,IRDF36MA,IRDF37MA,IRDG02MA,IRDG03MA,IRDG04MA,IRDG05MA,IRDG06MA,IRDG07MA,IRDG08MA,IRDG11MA,IRDG12MA,IRDG20MA,IRAD90MA,IRAD91MA,IRAD92MA,IINLBCMB,IRBA40MA,IRCM20MA,IRDK11MA,IRAD86MA
1965M1,,28.65314973,27.50176238,,,,,,,,,,,,,,,47.7,1565.6,,,,,,,33.2,,,,,,,,,,,,,,,,,30.65,,39.38,,29.23,42.82,,46.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,,,,,,,,,,,,0.613265988,,17.72184286,,,,,,,,,,,,,,,,,,,,,,,,18087,140,,140
1965M2,,29.81639438,28.19560432,,,,,,,,,,,,,,,47.9,1498,,,,,,,33.7,,,,,,,,,,,,,,,,,29.71,,38.25,,31.13,43.22,,46.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,,,,,,,,,,,0.613197729,,17.79128386,,,,,,,,,,,,,,,,,,,,,,,,19090,151,,151
1965M3,,32.44628408,29.31750586,,,,,,,,,,,,,,,44.9,1416.5,,,,,,,32.7,,,,,,,,,,,,,,,,,28.86,,37.21,,31.86,43.17,,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,0.612226698,,17.90004909,,,,,,,,,,,,,,,,,,,,,,,,31766,154,,154
1965M4,,34.67482696,29.33803418,,,,,,,,,,,,,,,46.3,1379.7,,,,,,,30.3,,,,,,,,,,,,,,,,,29.56,,38.2,,31.8,43.69,,46.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,0.612226698,,18.03200098,,,,,,,,,,,,,,,,,,,,,,,,31335,154,,154
1965M5,,37.23039578,30.47032926,,,,,,,,,,,,,,,45.2,1482.1,,,,,,,28.6,,,,,,,,,,,,,,,,,29.93,,38.5,,32.46,43.86,,46.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,,,,,,,,,,,0.611869725,,18.09109671,,,,,,,,,,,,,,,,,,,,,,,,26080,136,,136
1965M6,,38.05688504,30.79744403,,,,,,,,,,,,,,,44.8,1543.1,,,,,,,28.2,,,,,,,,,,,,,,,,,29.5,,38.28,,32.15,44.15,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48,,,,,,,,,,,,0.611207877,,18.17661338,,,,,,,,,,,,,,,,,,,,,,,,25605,147,,147
1965M7,,33.81588316,26.954619,,,,,,,,,,,,,,,43.2,1256.2,,,,,,,26.3,,,,,,,,,,,,,,,,,29.35,,38.07,,34.55,43.84,,48.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,,,,,,,,,,,,0.611784792,,18.13902499,,,,,,,,,,,,,,,,,,,,,,,,21318,125,,125
1965M8,,35.35935961,27.79919147,,,,,,,,,,,,,,,42.4,1251.6,,,,,,,26.8,,,,,,,,,,,,,,,,,29.34,,38.32,,32.69,44.43,,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,,,,,,,,,,,0.612447891,,18.29185782,,,,,,,,,,,,,,,,,,,,,,,,15118,126,,126
1965M9,,38.0336153,31.07742981,,,,,,,,,,,,,,,46.2,1563.1,,,,,,,31,,,,,,,,,,,,,,,,,29.47,,38.5,,33.88,44.65,,48.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,0.612226698,,18.3828433,,,,,,,,,,,,,,,,,,,,,,,,17585,211,,211
1965M10,,38.2130245,32.8410831,,,,,,,,,,,,,,,49.1,1583,,,,,,,32.2,,,,,,,,,,,,,,,,,30.57,,38.59,,33.76,45.41,,48.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,0.612056659,,18.38314058,,,,,,,,,,,,,,,,,,,,,,,,26210,123,,123
